"Site","Quadrat","Biomass"
1,1,55.5161948275823
1,2,58.1585800841338
1,3,72.469666513193
1,4,60.5640671313966
1,5,61.0343018812876
1,6,73.7205198950662
1,7,63.6873296479136
1,8,49.8795101231477
1,9,54.5051771848518
1,10,56.4347042392003
1,11,69.7926543795157
1,12,62.8785106164589
1,13,63.2061716047524
1,14,60.885461727561
1,15,55.5532709219674
1,16,74.2953050944246
1,17,63.9828038258339
1,18,44.2670627469629
1,19,65.6108472125095
1,20,56.2176687381765
1,21,51.4574103521052
1,22,58.2562006827336
1,23,51.7919644135421
1,24,54.1688701656709
1,25,54.9996858572059
1,26,46.5064535140607
1,27,66.7022963559562
1,28,61.2269849426921
1,29,50.8949045039044
1,30,70.0305193685594
1,31,63.4117137718145
1,32,57.6394281360618
1,33,67.1610052883602
1,34,67.0250679002643
1,35,66.5726486530999
1,36,65.5091220328007
1,37,64.4313412283007
1,38,59.5047063153862
1,39,57.5522986900807
1,40,56.9562319919009
1,41,54.4423441686359
1,42,58.3366617758432
1,43,49.8768291874539
1,44,77.3516477227081
1,45,69.6636959864399
1,46,51.0151313343732
1,47,56.7769213176074
1,48,56.2667571710142
1,49,66.2397209466905
1,50,59.3330474682254
2,1,105.066370279895
2,2,99.4290648930259
2,3,99.1425908541737
2,4,127.372045680289
2,5,95.4845802868146
2,6,130.329412088591
2,7,69.0249439153956
2,8,111.692274992721
2,9,102.477084876892
2,10,104.318831374879
2,11,107.592789655198
2,12,89.953530937814
2,13,93.3358523266116
2,14,79.6284923378582
2,15,78.5641754704884
2,16,106.070572828085
2,17,108.964195572589
2,18,101.06008453461
2,19,118.445349357595
2,20,141.001693712543
2,21,90.1793766788693
2,22,53.8166224871837
2,23,120.114770489245
2,24,85.8159847483522
2,25,86.2398276706528
2,26,120.511427393934
2,27,94.3045398589798
2,28,75.5856457549093
2,29,103.626069594983
2,30,97.2221727512191
2,31,100.115283717998
2,32,107.705608022527
2,33,92.5867993641518
2,34,112.887530970377
2,35,95.590268763625
2,36,106.635639278314
2,37,121.936780262987
2,38,108.703629816676
2,39,93.4813682893755
2,40,122.976152369022
2,41,119.870077119242
2,42,110.967939190161
2,43,104.774634702229
2,44,87.4418784792126
2,45,127.2130489706
2,46,87.9948082570575
2,47,143.746659860332
2,48,130.652212523704
2,49,95.2859928179905
2,50,79.4715819938644
3,1,122.895934363007
3,2,132.568837091565
3,3,127.533081215376
3,4,126.524574006023
3,5,120.48381432735
3,6,129.549722751911
3,7,122.150955305429
3,8,113.320580634119
3,9,126.197734797122
3,10,139.189966090608
3,11,124.246530373916
3,12,136.07964322225
3,13,113.821172917108
3,14,129.444380344755
3,15,135.194072039435
3,16,133.011533621667
3,17,131.056761941489
3,18,123.592939916946
3,19,121.502956539664
3,20,119.758712093951
3,21,131.176465971001
3,22,120.525253858152
3,23,125.094425562993
3,24,127.439078078018
3,25,148.438620052322
3,26,123.480500983045
3,27,132.353865722849
3,28,130.779608495637
3,29,120.381433658699
3,30,129.286919138764
3,31,144.445508584233
3,32,134.515040530792
3,33,130.412329219929
3,34,125.775031676604
3,35,109.467527784595
3,36,141.313372134142
3,37,115.393599290752
3,38,137.399475108773
3,39,149.091035692175
3,40,115.561068390282
3,41,137.017843353747
3,42,127.378025105975
3,43,114.278558408545
3,44,114.853323462182
3,45,113.984638264254
3,46,124.690934778297
3,47,115.382444150041
3,48,136.879167729758
3,49,151.001089405257
3,50,117.129695239648
